#BUS NAME VNOM PLOAD QLOAD BSHUNT QSHUNT
BUS A  400.  0. 0. 0. 0. ;
BUS A2 225.  0. 0. 0. 0. ;
BUS B  400.  0. 0. 0. 0. ;
BUS B2 225.  0. 0. 0. 0. ;
BUS C  400.  0. 0. 400. 0. ;
BUS E  225.  0. 0. -160. 0. ;
BUS F  225.  0. 0. 0. 0. ;

#LINE NAME BUS1 BUS2 R X WC2 SNOM BR
LINE A-B#1 A B 0.51 10.24   48. 3000. 1 ;   32 km OHL
LINE A-B#2 A B 0.51 10.24   48. 3000. 1 ;   32 km OHL
LINE A-C#1 A C 1.04 20.80   98. 3000. 1 ;   65 km OHL
LINE A-C#2 A C 1.04 20.80   98. 3000. 1 ;   65 km OHL
LINE B-C#1 B C 1.12 22.40  105. 3000. 1 ;   70 km OHL
LINE B-C#2 B C 1.12 22.40  105. 3000. 1 ;   70 km OHL
LINE A2-E A2 E 0.42  0.83 9000. 2400. 1 ;   6 cables in parallel
LINE B2-F B2 F 0.42  0.83 9000. 2400. 1 ;   6 cables in parallel

#TRANSFO NAME FROMBUS TOBUS R X B1 B2 N PHI SNOM BR
TRANSFO A2-A  A2  A  0.5 15.0  0. 0. 100. 0. 2400. 1 ; WP1
TRANSFO B2-B  B2  B  0.5 15.0  0. 0. 100. 0. 2400. 1 ; WP2

#GENER NAME BUS P Q VIMP SNOM QMIN QMAX BR
GENER HVDC1 A   1144.5    0.    1.0164853   1200.  -999.  345. 1 ; 
GENER HVDC2 B   1394.1    0.    1.0210490   1700.  -999.  504. 1 ;
GENER WP1   E   1991.6 -159.4   0.          2400.  -999.  720. 1 ;
GENER WP2   F   1991.7    0.    1.0373857   2400.  -999.  720. 1 ;
GENER EQUIV C   0.        0.    1.0005500   9999. -9999. 9999. 1 ;
SLACK C ;

#LFRESV BUS MODV PHASV
LFRESV A        1.0164853  0.21072198E+00 ;
LFRESV A2       1.0509079  0.32457577E+00 ;
LFRESV B        1.0184461  0.21667759E+00 ;
LFRESV B2       1.0258986  0.33388719E+00 ;
LFRESV C        1.0005500  0.00000000E+00 ;
LFRESV E        1.0686982  0.35233608E+00 ;
LFRESV F        1.0373857  0.36649714E+00 ;
